,"Day : 0 - 1","Day : 1 - 2","Day : 2 - 3"
Revenue,0,0,0
"Retail View",0,0,0
"Wholesales (B2B)",0,0,0
"Sales E Commerce",0,0,0
Services,0,0,0
"Research and Development",0,0,0
COGS,0,0,0
"Trading Profit",0,0,0
"Operating Expense View","12,600","207,840","156,720"
"Other Income (Loss)",0,0,0
"Net Profit","(12,600)","(207,840)","(156,720)"

,"Day : 3 - 4","Day : 4 - 5","Day : 5 - 6"
Revenue,"46,117","45,937","45,162"
"Retail View","46,117","45,937","45,162"
"Wholesales (B2B)",0,0,0
"Sales E Commerce",0,0,0
Services,0,0,0
"Research and Development",0,0,0
COGS,"28,166","27,848","27,311"
"Trading Profit","17,951","18,089","17,851"
"Operating Expense View","87,458","135,839","60,281"
"Other Income (Loss)",0,0,0
"Net Profit","(69,507)","(117,750)","(42,430)"

,"Day : 6 - 7","Day : 7 - 8","Day : 8 - 9"
Revenue,"44,468","106,769","44,402"
"Retail View","44,468","43,752","44,402"
"Wholesales (B2B)",0,0,0
"Sales E Commerce",0,"18,317",0
Services,0,"44,700",0
"Research and Development",0,0,0
COGS,"25,696","42,776","25,587"
"Trading Profit","18,772","63,993","18,815"
"Operating Expense View","61,130","53,287","92,005"
"Other Income (Loss)",0,0,0
"Net Profit","(42,358)","10,706","(73,190)"

,"Day : 9 - 10","Day : 10 - 11","Day : 11 - 12"
Revenue,"375,265","415,850","349,617"
"Retail View","308,444","319,199","309,725"
"Wholesales (B2B)",0,0,0
"Sales E Commerce","62,321","8,051","39,892"
Services,"4,500","88,600",0
"Research and Development",0,0,0
COGS,"248,190","269,737","258,559"
"Trading Profit","127,075","146,113","91,058"
"Operating Expense View","78,792","55,135","54,008"
"Other Income (Loss)",0,0,0
"Net Profit","48,283","90,978","37,050"

,"Day : 12 - 13","Day : 13 - 14","Day : 14 - 15"
Revenue,"1,912,232","490,647","107,890"
"Retail View","530,010","447,539","49,107"
"Wholesales (B2B)","1,326,050",0,0
"Sales E Commerce","56,172","43,108","58,783"
Services,0,0,0
"Research and Development",0,0,0
COGS,"1,455,041","293,855","79,854"
"Trading Profit","457,191","196,792","28,036"
"Operating Expense View","51,516","84,396","82,303"
"Other Income (Loss)",0,0,0
"Net Profit","405,675","112,396","(54,267)"

,"Day : 15 - 16","Day : 16 - 17","Day : 17 - 18"
Revenue,"43,247","1,292,158","266,553"
"Retail View","42,515","50,149","78,441"
"Wholesales (B2B)",0,"1,180,800",0
"Sales E Commerce",732,"61,209","42,912"
Services,0,0,"145,200"
"Research and Development",0,0,0
COGS,"79,962","1,045,155","140,621"
"Trading Profit","(36,715)","247,003","125,932"
"Operating Expense View","53,089","82,644","52,941"
"Other Income (Loss)",0,0,0
"Net Profit","(89,804)","164,359","72,991"

,"Day : 18 - 19","Day : 19 - 20","Day : 20 - 21"
Revenue,"130,844","76,442","1,937,106"
"Retail View","77,278","76,442","71,548"
"Wholesales (B2B)",0,0,"1,783,820"
"Sales E Commerce","31,666",0,"29,638"
Services,"21,900",0,"52,100"
"Research and Development",0,0,0
COGS,"134,391","65,090","1,289,399"
"Trading Profit","(3,547)","11,352","647,707"
"Operating Expense View","53,523","54,464","169,615"
"Other Income (Loss)",0,0,0
"Net Profit","(57,070)","(43,112)","478,092"

,"Day : 21 - 22","Day : 22 - 23","Day : 23 - 24"
Revenue,"204,480","660,210","168,957"
"Retail View","66,756","59,682","69,516"
"Wholesales (B2B)",0,"508,410",0
"Sales E Commerce","36,524","92,118","47,841"
Services,"101,200",0,"51,600"
"Research and Development",0,0,0
COGS,"62,773","431,346","75,058"
"Trading Profit","141,707","228,864","93,899"
"Operating Expense View","92,526","120,565","76,629"
"Other Income (Loss)",0,0,0
"Net Profit","49,181","108,299","17,270"

,"Day : 24 - 25","Day : 25 - 26","Day : 26 - 27"
Revenue,"93,996","95,546","157,934"
"Retail View","70,398","69,694","68,754"
"Wholesales (B2B)",0,0,0
"Sales E Commerce","23,598","25,852","51,780"
Services,0,0,"37,400"
"Research and Development",0,0,0
COGS,"60,131","94,718","115,009"
"Trading Profit","33,865",828,"42,925"
"Operating Expense View","54,248","58,591","54,650"
"Other Income (Loss)",0,0,0
"Net Profit","(20,383)","(57,763)","(11,725)"

,"Day : 27 - 28","Day : 28 - 29","Day : 29 - 30"
Revenue,"93,415","1,033,654","108,821"
"Retail View","68,782","70,533","71,328"
"Wholesales (B2B)",0,"833,040",0
"Sales E Commerce","24,633","19,081","25,593"
Services,0,"111,000","11,900"
"Research and Development",0,0,0
COGS,"73,701","595,828","54,778"
"Trading Profit","19,714","437,826","54,043"
"Operating Expense View","69,936","137,062","55,158"
"Other Income (Loss)",0,0,0
