[HIGHEST OVERHEAD] SALARY EXPENSE: 35.21%
[CASH DEFICIT] DAY: 1, AMOUNT: USD12600.0
[CASH DEFICIT] DAY: 2, AMOUNT: USD207840.0
[CASH DEFICIT] DAY: 3, AMOUNT: USD205693.0
[CASH DEFICIT] DAY: 4, AMOUNT: USD2980941.0
[CASH DEFICIT] DAY: 5, AMOUNT: USD56153.0
[CASH DEFICIT] DAY: 6, AMOUNT: USD8453.0
[CASH DEFICIT] DAY: 7, AMOUNT: USD11172.0
[CASH DEFICIT] DAY: 9, AMOUNT: USD40937.0
[CASH DEFICIT] DAY: 12, AMOUNT: USD87725.0
[CASH DEFICIT] DAY: 14, AMOUNT: USD605765.0
[CASH DEFICIT] DAY: 18, AMOUNT: USD357709.0
[CASH DEFICIT] DAY: 19, AMOUNT: USD127494.0
[CASH DEFICIT] DAY: 20, AMOUNT: USD25111.0
[CASH DEFICIT] DAY: 22, AMOUNT: USD243712.0
[CASH DEFICIT] DAY: 23, AMOUNT: USD78689.0
[CASH DEFICIT] DAY: 25, AMOUNT: USD135445.0
[CASH DEFICIT] DAY: 26, AMOUNT: USD239490.0
[CASH DEFICIT] DAY: 30, AMOUNT: USD396638.0
[CASH DEFICIT] DAY: 33, AMOUNT: USD338299.0
[CASH DEFICIT] DAY: 34, AMOUNT: USD93800.0
[CASH DEFICIT] DAY: 36, AMOUNT: USD3990.0
[CASH DEFICIT] DAY: 38, AMOUNT: USD204909.0
[CASH DEFICIT] DAY: 40, AMOUNT: USD90555.0
[CASH DEFICIT] DAY: 42, AMOUNT: USD123103.0
[CASH DEFICIT] DAY: 45, AMOUNT: USD16469.0
[CASH DEFICIT] DAY: 46, AMOUNT: USD469363.0
[CASH DEFICIT] DAY: 48, AMOUNT: USD310058.0
[CASH DEFICIT] DAY: 51, AMOUNT: USD104232.0
[CASH DEFICIT] DAY: 56, AMOUNT: USD62098.0
[CASH DEFICIT] DAY: 61, AMOUNT: USD14504.0
[CASH DEFICIT] DAY: 62, AMOUNT: USD189594.0
[CASH DEFICIT] DAY: 66, AMOUNT: USD66624.0
[CASH DEFICIT] DAY: 69, AMOUNT: USD15136.0
[CASH DEFICIT] DAY: 70, AMOUNT: USD112657.0
[CASH DEFICIT] DAY: 71, AMOUNT: USD3420.0
[CASH DEFICIT] DAY: 72, AMOUNT: USD471813.0
[CASH DEFICIT] DAY: 73, AMOUNT: USD631310.0
[CASH DEFICIT] DAY: 74, AMOUNT: USD524616.0
[CASH DEFICIT] DAY: 77, AMOUNT: USD289672.0
[CASH DEFICIT] DAY: 81, AMOUNT: USD459819.0
[CASH DEFICIT] DAY: 82, AMOUNT: USD856763.0
[CASH DEFICIT] DAY: 83, AMOUNT: USD1483002.0
[CASH DEFICIT] DAY: 85, AMOUNT: USD911440.0
[CASH DEFICIT] DAY: 86, AMOUNT: USD956365.0
[PROFIT DEFICIT] DAY: 1, AMOUNT: USD12600.0
[PROFIT DEFICIT] DAY: 2, AMOUNT: USD207840.0
[PROFIT DEFICIT] DAY: 3, AMOUNT: USD156720.0
[PROFIT DEFICIT] DAY: 4, AMOUNT: USD69507.0
[PROFIT DEFICIT] DAY: 5, AMOUNT: USD117750.0
[PROFIT DEFICIT] DAY: 6, AMOUNT: USD42430.0
[PROFIT DEFICIT] DAY: 7, AMOUNT: USD42358.0
[PROFIT DEFICIT] DAY: 9, AMOUNT: USD73190.0
[PROFIT DEFICIT] DAY: 15, AMOUNT: USD54267.0
[PROFIT DEFICIT] DAY: 16, AMOUNT: USD89804.0
[PROFIT DEFICIT] DAY: 19, AMOUNT: USD57070.0
[PROFIT DEFICIT] DAY: 20, AMOUNT: USD43112.0
[PROFIT DEFICIT] DAY: 25, AMOUNT: USD20383.0
[PROFIT DEFICIT] DAY: 26, AMOUNT: USD57763.0
[PROFIT DEFICIT] DAY: 27, AMOUNT: USD11725.0
[PROFIT DEFICIT] DAY: 28, AMOUNT: USD50222.0
[PROFIT DEFICIT] DAY: 30, AMOUNT: USD1115.0
[PROFIT DEFICIT] DAY: 35, AMOUNT: USD32504.0
[PROFIT DEFICIT] DAY: 36, AMOUNT: USD39328.0
[PROFIT DEFICIT] DAY: 41, AMOUNT: USD63759.0
[PROFIT DEFICIT] DAY: 45, AMOUNT: USD34865.0
[PROFIT DEFICIT] DAY: 46, AMOUNT: USD25051.0
[PROFIT DEFICIT] DAY: 48, AMOUNT: USD19117.0
[PROFIT DEFICIT] DAY: 51, AMOUNT: USD22427.0
[PROFIT DEFICIT] DAY: 56, AMOUNT: USD39429.0
[PROFIT DEFICIT] DAY: 59, AMOUNT: USD29061.0
[PROFIT DEFICIT] DAY: 61, AMOUNT: USD74611.0
[PROFIT DEFICIT] DAY: 62, AMOUNT: USD78718.0
[PROFIT DEFICIT] DAY: 72, AMOUNT: USD2671.0
[PROFIT DEFICIT] DAY: 83, AMOUNT: USD31831.0
[PROFIT DEFICIT] DAY: 85, AMOUNT: USD6794.0
[PROFIT DEFICIT] DAY: 86, AMOUNT: USD20334.0
